Filename,Instruction
4026_interactions.json,done
4026_interactions.json,done
4026_interactions.json,done
4027_interactions.json,fill in the grind with a Q
4027_interactions.json,done
4027_interactions.json,it is a 5x5 grind put an x in the first box
4027_interactions.json,DONE
4029_interactions.json,"put a z in column 1 row 2,3,4,and 5"
4030_interactions.json,put one p in the last cell of the first row
4030_interactions.json,put one p in the first and last cell of the third row
4030_interactions.json,in the fourth row put p in cell 4 which is the second cell from the right
4030_interactions.json,in the last row put p in the second cell from the left
4030_interactions.json,Done
4030_interactions.json,Put C in each cell of the second row
4030_interactions.json,"put C in all the cells in row 3, 4 and 5"
4030_interactions.json,DONE
4030_interactions.json,put Q in the fourth cell of row one. It's the second cell from the right.
4030_interactions.json,"Put Q in cell three, four and five in the last row which is row five. "
4030_interactions.json,Done
4031_interactions.json,"put letter E in the first row, second column, another one in the second row, last column, then another two in the third row, second column and fourth column, the the last one is in the first row of the last column and another one in the last row, third column "
4032_interactions.json,type two Ns in the first and last grid of the first row
4032_interactions.json,"Type 4 Ns in all the grids of the second row , exerpt the middle grid"
4032_interactions.json,"On the third row, Type Ns from the first grid skipping one grid after typing each N up until the last grid"
4032_interactions.json,"4th row, repeat instruction number 2, type Ns in all the grids exerpt middle grid"
4032_interactions.json,"last row, repeat instruction number 1, type N in the first and last grid"
4032_interactions.json,DONE
4032_interactions.json,"on the second row, type H in grid number 3 and 4
3rd row, type H in last grid
4th row, type H in grid 4"
4032_interactions.json,done
4032_interactions.json,"type T in the first square of the grid , first row"
4032_interactions.json,type T in the last square of the first row
4032_interactions.json,"on the second row, type T in the first square"
4032_interactions.json,second row again type T on second square
4032_interactions.json,"on the same row, skip the third square and type T on the 4th"
4032_interactions.json,"same row , last square"
4032_interactions.json,"from the third row, type Ts on the first squares of the rows up until last row"
4032_interactions.json,do the same in the third and last rows
4032_interactions.json,done
4051_interactions.json,Put T in first row third column
4051_interactions.json,DONE
4051_interactions.json,Fill the second row with G
4051_interactions.json,Fill the the third row with G
4051_interactions.json,Fill the fourth row with G
4051_interactions.json,DONE
4051_interactions.json,Fill the first row with N
4051_interactions.json,Put N in the third row first column
4051_interactions.json,Put N in the fourth row firts column
4051_interactions.json,Put N in the last row fourth and fifth column
4051_interactions.json,done
4026_interactions.json,done
4026_interactions.json,done
4026_interactions.json,done
4027_interactions.json,fill in the grind with a Q
4027_interactions.json,done
4027_interactions.json,it is a 5x5 grind put an x in the first box
4027_interactions.json,DONE
4029_interactions.json,"put a z in column 1 row 2,3,4,and 5"
4030_interactions.json,put one p in the last cell of the first row
4030_interactions.json,put one p in the first and last cell of the third row
4030_interactions.json,in the fourth row put p in cell 4 which is the second cell from the right
4030_interactions.json,in the last row put p in the second cell from the left
4030_interactions.json,Done
4030_interactions.json,Put C in each cell of the second row
4030_interactions.json,"put C in all the cells in row 3, 4 and 5"
4030_interactions.json,DONE
4030_interactions.json,put Q in the fourth cell of row one. It's the second cell from the right.
4030_interactions.json,"Put Q in cell three, four and five in the last row which is row five. "
4030_interactions.json,Done
4031_interactions.json,"put letter E in the first row, second column, another one in the second row, last column, then another two in the third row, second column and fourth column, the the last one is in the first row of the last column and another one in the last row, third column "
4032_interactions.json,type two Ns in the first and last grid of the first row
4032_interactions.json,"Type 4 Ns in all the grids of the second row , exerpt the middle grid"
4032_interactions.json,"On the third row, Type Ns from the first grid skipping one grid after typing each N up until the last grid"
4032_interactions.json,"4th row, repeat instruction number 2, type Ns in all the grids exerpt middle grid"
4032_interactions.json,"last row, repeat instruction number 1, type N in the first and last grid"
4032_interactions.json,DONE
4032_interactions.json,"on the second row, type H in grid number 3 and 4
3rd row, type H in last grid
4th row, type H in grid 4"
4032_interactions.json,done
4032_interactions.json,"type T in the first square of the grid , first row"
4032_interactions.json,type T in the last square of the first row
4032_interactions.json,"on the second row, type T in the first square"
4032_interactions.json,second row again type T on second square
4032_interactions.json,"on the same row, skip the third square and type T on the 4th"
4032_interactions.json,"same row , last square"
4032_interactions.json,"from the third row, type Ts on the first squares of the rows up until last row"
4032_interactions.json,do the same in the third and last rows
4032_interactions.json,done
4051_interactions.json,Put T in first row third column
4051_interactions.json,DONE
4051_interactions.json,Fill the second row with G
4051_interactions.json,Fill the the third row with G
4051_interactions.json,Fill the fourth row with G
4051_interactions.json,DONE
4051_interactions.json,Fill the first row with N
4051_interactions.json,Put N in the third row first column
4051_interactions.json,Put N in the fourth row firts column
4051_interactions.json,Put N in the last row fourth and fifth column
4051_interactions.json,done
